,nh,delay-bar,delay-cont,rate-bar,rate-cont
1,29,0.32499378892777947,0.3266854393905753,20.554121652460058,20.53299762177315
2,14,0.3262511289701225,0.33240879646559196,20.52074148083874,20.462516765612794
3,9,0.3265589790286202,0.34174840941036777,20.513105067177566,20.29607689375671
4,6,0.32855033088574814,0.34964801283610053,20.460646304802477,20.357479193732164
5,5,0.3295094343803565,0.37057984921672815,20.437124565962634,19.81755345766355
6,4,0.3296397912999923,0.38749375537918146,20.432833183594607,19.548038533019135
7,3,0.3225914553377921,0.4101220729184266,20.61694084958625,19.009178096868894
8,2,0.3266501450762907,0.41538791331859337,20.5090302659805,19.448585043980664
9,2,0.3254957024324807,0.4496979569509427,20.538689663151406,18.597828840579787
10,2,0.32764737691699203,0.48531210307961203,20.48523759691863,17.825193505562194
